"Average","Name"
22028,"YEAR_2050_TRAN_COMP_SESL"
11056,"YEAR_2050_TRAN_COMP_POTM"
6792,"YEAR_2050_TRAN_COMP_NU"
14837,"YEAR_2050_TRAN_COMP_CU"
3861,"YEAR_2050_TRAN_COMP_SU"
14070,"YEAR_2050_TRAN_COMP_Region"
13526,"GAIN_2019to2050_AUTO_HH_BE"
28142,"GAIN_2019to2050_AUTO_HH_NW"
36186,"GAIN_2019to2050_AUTO_HH_SW"
42148,"GAIN_2019to2050_AUTO_HH_ND"
34766,"GAIN_2019to2050_AUTO_HH_SD"
61684,"GAIN_2019to2050_AUTO_HH_NSL"
87871,"GAIN_2019to2050_AUTO_HH_SWSL"
72255,"GAIN_2019to2050_AUTO_HH_SESL"
91877,"GAIN_2019to2050_AUTO_HH_POTM"
96172,"GAIN_2019to2050_AUTO_HH_NU"
75920,"GAIN_2019to2050_AUTO_HH_CU"
67081,"GAIN_2019to2050_AUTO_HH_SU"
65409,"GAIN_2019to2050_AUTO_HH_Region"
8599,"GAIN_2019to2050_AUTO_JB_BE"
20109,"GAIN_2019to2050_AUTO_JB_NW"
33036,"GAIN_2019to2050_AUTO_JB_SW"
43233,"GAIN_2019to2050_AUTO_JB_ND"
32107,"GAIN_2019to2050_AUTO_JB_SD"
82335,"GAIN_2019to2050_AUTO_JB_NSL"
151227,"GAIN_2019to2050_AUTO_JB_SWSL"
112390,"GAIN_2019to2050_AUTO_JB_SESL"
144700,"GAIN_2019to2050_AUTO_JB_POTM"
140341,"GAIN_2019to2050_AUTO_JB_NU"
92167,"GAIN_2019to2050_AUTO_JB_CU"
68683,"GAIN_2019to2050_AUTO_JB_SU"
87116,"GAIN_2019to2050_AUTO_JB_Region"
12262,"GAIN_2019to2050_AUTO_COMP_BE"
21781,"GAIN_2019to2050_AUTO_COMP_NW"
34777,"GAIN_2019to2050_AUTO_COMP_SW"
41512,"GAIN_2019to2050_AUTO_COMP_ND"
30064,"GAIN_2019to2050_AUTO_COMP_SD"
75822,"GAIN_2019to2050_AUTO_COMP_NSL"
130548,"GAIN_2019to2050_AUTO_COMP_SWSL"
95103,"GAIN_2019to2050_AUTO_COMP_SESL"
124557,"GAIN_2019to2050_AUTO_COMP_POTM"
126600,"GAIN_2019to2050_AUTO_COMP_NU"
87788,"GAIN_2019to2050_AUTO_COMP_CU"
66795,"GAIN_2019to2050_AUTO_COMP_SU"
79643,"GAIN_2019to2050_AUTO_COMP_Region"
383,"GAIN_2019to2050_TRAN_HH_BE"
436,"GAIN_2019to2050_TRAN_HH_NW"
3048,"GAIN_2019to2050_TRAN_HH_SW"
1567,"GAIN_2019to2050_TRAN_HH_ND"
1416,"GAIN_2019to2050_TRAN_HH_SD"
8963,"GAIN_2019to2050_TRAN_HH_NSL"
3810,"GAIN_2019to2050_TRAN_HH_SWSL"
6874,"GAIN_2019to2050_TRAN_HH_SESL"
4579,"GAIN_2019to2050_TRAN_HH_POTM"
3590,"GAIN_2019to2050_TRAN_HH_NU"
4630,"GAIN_2019to2050_TRAN_HH_CU"
2348,"GAIN_2019to2050_TRAN_HH_SU"
4482,"GAIN_2019to2050_TRAN_HH_Region"
292,"GAIN_2019to2050_TRAN_JB_BE"
273,"GAIN_2019to2050_TRAN_JB_NW"
3424,"GAIN_2019to2050_TRAN_JB_SW"
1709,"GAIN_2019to2050_TRAN_JB_ND"
1889,"GAIN_2019to2050_TRAN_JB_SD"
10641,"GAIN_2019to2050_TRAN_JB_NSL"
7352,"GAIN_2019to2050_TRAN_JB_SWSL"
13723,"GAIN_2019to2050_TRAN_JB_SESL"
9804,"GAIN_2019to2050_TRAN_JB_POTM"
7089,"GAIN_2019to2050_TRAN_JB_NU"
5394,"GAIN_2019to2050_TRAN_JB_CU"
3563,"GAIN_2019to2050_TRAN_JB_SU"
6583,"GAIN_2019to2050_TRAN_JB_Region"
305,"GAIN_2019to2050_TRAN_COMP_BE"
316,"GAIN_2019to2050_TRAN_COMP_NW"
3436,"GAIN_2019to2050_TRAN_COMP_SW"
1648,"GAIN_2019to2050_TRAN_COMP_ND"
1435,"GAIN_2019to2050_TRAN_COMP_SD"
11341,"GAIN_2019to2050_TRAN_COMP_NSL"
5789,"GAIN_2019to2050_TRAN_COMP_SWSL"
10283,"GAIN_2019to2050_TRAN_COMP_SESL"
7171,"GAIN_2019to2050_TRAN_COMP_POTM"
5328,"GAIN_2019to2050_TRAN_COMP_NU"
5420,"GAIN_2019to2050_TRAN_COMP_CU"
2843,"GAIN_2019to2050_TRAN_COMP_SU"
5892,"GAIN_2019to2050_TRAN_COMP_Region"
